time,Fx,Fy,Fz,Tx,Ty,Tz
0.000000,-0.006637,0.008593,-0.002951,0.000238,-0.000091,0.000106
0.002000,-0.006675,-0.003019,-0.006570,0.000045,-0.000029,-0.000036
0.004000,-0.010640,0.003909,-0.006353,-0.000196,-0.000111,-0.000037
0.006000,-0.000684,0.002647,0.006827,0.000142,-0.000086,-0.000009
0.008000,-0.006859,0.006596,-0.002815,-0.000052,0.000244,0.000080
0.010000,-0.006790,0.003965,0.010516,-0.000050,0.000027,0.000048
0.012000,0.003352,-0.004129,-0.017035,0.000283,0.000047,-0.000089
0.014000,0.003308,-0.001999,-0.000068,-0.000049,-0.000140,0.000018
0.016000,0.005205,-0.000766,0.010046,0.000046,0.000026,-0.000009
0.018000,-0.000633,-0.009163,0.009903,0.000192,-0.000219,-0.000068
0.020000,-0.008672,-0.004197,-0.006568,-0.000052,-0.000027,-0.000093
0.022000,-0.006834,0.006480,0.003834,-0.000005,0.000218,-0.000005
0.024000,-0.000582,0.016585,-0.003094,-0.000005,-0.000174,-0.000007
0.026000,0.007269,-0.004273,-0.003572,-0.000146,-0.000084,-0.000010
0.028000,-0.002694,0.013338,-0.006364,-0.000006,0.000047,-0.000004
0.030000,-0.012758,-0.004083,0.000450,0.000047,0.000028,0.000075
0.032000,-0.004764,0.000599,-0.006436,-0.000099,0.000053,0.000049
0.034000,-0.008804,-0.001747,0.003793,-0.000000,0.000055,0.000104
0.036000,0.003234,0.005073,0.006944,0.000049,-0.000089,0.000187
0.038000,0.003303,0.000445,-0.010142,-0.000196,-0.000058,-0.000037
0.040000,0.001256,0.001721,-0.009988,-0.000147,0.000024,0.000021
0.042000,-0.004697,0.007414,0.003712,0.000142,-0.000033,0.000049
0.044000,0.001239,0.001542,0.010142,0.000045,0.000026,-0.000064
0.046000,0.005203,0.015562,0.013665,0.000042,0.000131,-0.000060
0.048000,-0.006789,-0.000706,0.010501,0.000002,-0.000055,0.000158
0.050000,-0.010694,0.003884,0.007188,0.000047,-0.000084,0.000047
0.052000,0.009184,0.008414,0.020221,-0.000193,-0.000056,0.000018
0.054000,0.001367,0.006008,0.010097,0.000141,-0.000142,-0.000093
0.056000,0.007134,0.012295,0.003620,0.000093,0.000211,0.000109
0.058000,-0.004709,0.007427,0.000365,-0.000099,-0.000059,0.000048
0.060000,0.005194,0.003878,0.013484,-0.000003,0.000053,-0.000036
0.062000,0.005283,-0.000793,-0.000209,-0.000054,0.000026,-0.000176
0.064000,0.011248,-0.013779,0.009541,-0.000145,-0.000133,-0.000126
0.066000,0.003336,0.000563,-0.020261,0.000043,0.000020,-0.000034
0.068000,-0.000808,-0.001814,0.003510,-0.000098,0.000055,0.000019
0.070000,-0.002743,-0.000497,-0.016603,-0.000099,0.000051,0.000077
0.072000,0.005268,-0.000745,-0.000041,0.000095,-0.000060,0.000075
0.074000,-0.000804,-0.001809,0.000148,-0.000242,0.000029,0.000019
0.076000,-0.002650,-0.010021,-0.013557,0.000046,-0.000084,-0.000038
0.078000,-0.000794,0.000518,0.003555,-0.000002,0.000053,0.000048
0.080000,-0.002855,0.001620,0.020477,0.000095,0.000110,0.000020
0.082000,0.005196,-0.002894,-0.006813,-0.000052,0.000135,-0.000035
0.084000,-0.000754,-0.004251,0.006660,0.000043,0.000084,-0.000176
0.086000,-0.004743,0.007360,0.010376,-0.000149,0.000028,-0.000120
0.088000,-0.002772,-0.007705,0.000060,-0.000289,-0.000051,-0.000011
0.090000,0.001301,-0.012360,-0.006867,0.000194,-0.000113,0.000102
0.092000,0.011271,-0.011277,-0.003820,0.000047,-0.000085,-0.000011
0.094000,-0.004761,0.000430,0.007060,-0.000047,-0.000084,0.000130
0.096000,0.003325,-0.004347,-0.000144,0.000047,-0.000140,-0.000010
0.098000,-0.008859,-0.006616,0.027256,0.000002,0.000007,0.000044
0.100000,0.003220,-0.020790,0.019760,-0.000047,-0.000128,-0.000127
0.102000,-0.008688,0.000508,-0.003131,0.000138,0.000081,-0.000118
0.104000,0.001204,-0.007486,-0.010079,0.000095,0.000106,0.000077
0.106000,0.001220,0.003954,0.006854,0.000044,0.000080,-0.000035
0.108000,0.003173,-0.006301,-0.010158,-0.000052,0.000191,-0.000034
0.110000,-0.008841,0.000513,0.017120,0.000042,0.000252,-0.000202
0.112000,0.001085,-0.002718,0.003582,0.000335,0.000297,0.000136
0.114000,-0.012755,0.005238,0.000632,-0.000050,0.000025,0.000105
0.116000,0.009328,0.001319,0.006422,-0.000196,-0.000165,-0.000151
0.118000,-0.000672,0.002861,-0.016711,-0.000149,-0.000032,-0.000007
0.120000,-0.010686,0.001605,0.000296,-0.000054,0.000029,-0.000148
0.122000,-0.004756,0.005188,0.003650,0.000139,0.000134,-0.000061
0.124000,0.005355,-0.005273,-0.023716,0.000143,-0.000092,0.000105
0.126000,-0.000655,0.004946,0.003450,-0.000004,-0.000113,-0.000065
0.128000,0.005401,0.020257,-0.016644,0.000041,-0.000042,-0.000003
0.130000,-0.004782,0.005169,0.007089,0.000045,0.000080,0.000021
0.132000,0.005476,0.001567,-0.027109,0.000140,-0.000204,0.000021
0.134000,0.007320,0.016737,-0.003303,0.000137,0.000071,-0.000087
0.136000,0.013172,0.013279,0.006779,-0.000051,0.000074,0.000079
0.138000,0.001377,0.003703,0.006719,0.000190,-0.000170,-0.000037
0.140000,0.012990,0.001668,0.026864,-0.000049,0.000248,0.000021
0.142000,0.007287,0.009538,0.013467,-0.000002,-0.000115,-0.000009
0.144000,0.003383,-0.008977,-0.010399,0.000142,-0.000141,-0.000066
0.146000,0.003458,0.014246,-0.010082,0.000041,-0.000148,-0.000118
0.148000,0.005441,0.006011,-0.003479,0.000142,-0.000256,-0.000009
0.150000,0.003534,0.002597,-0.020427,0.000283,-0.000231,-0.000091
0.152000,-0.002601,-0.005503,-0.006863,0.000092,-0.000111,-0.000149
0.154000,-0.002719,-0.002996,0.000119,0.000335,0.000022,0.000049
0.156000,0.001299,0.003942,-0.006656,-0.000148,-0.000031,-0.000036
0.158000,-0.008762,0.005423,-0.012931,0.000093,0.000158,0.000108
0.160000,-0.002555,0.013159,-0.009848,0.000139,-0.000148,-0.000006
0.162000,0.009291,-0.000815,-0.000335,0.000042,0.000024,-0.000175
0.164000,0.001133,0.001653,0.013702,-0.000096,0.000055,0.000103
0.166000,-0.000897,0.000660,0.007161,0.000051,0.000078,0.000300
0.168000,0.001205,0.006398,0.003612,0.000238,0.000130,0.000079
0.170000,-0.000641,0.012162,-0.013198,0.000091,-0.000011,0.000024
0.172000,0.003399,0.000307,-0.010278,-0.000053,-0.000141,-0.000121
0.174000,0.003316,0.000645,-0.023502,0.000094,-0.000010,0.000134
0.176000,-0.000767,0.005356,-0.013213,-0.000005,0.000158,0.000024
0.178000,-0.002629,0.001663,-0.013285,0.000239,-0.000092,0.000105
0.180000,0.001231,0.008943,-0.019881,0.000043,0.000181,0.000110
0.182000,-0.012773,-0.004154,0.007084,-0.000052,0.000087,-0.000093
0.184000,-0.014624,-0.007633,-0.016526,-0.000099,-0.000109,-0.000010
0.186000,-0.000768,0.000736,-0.013335,0.000234,0.000240,-0.000031
0.188000,-0.008784,0.002882,0.007200,0.000143,0.000080,0.000077
0.190000,-0.000713,-0.001952,0.003374,0.000045,-0.000029,-0.000065
0.192000,0.003328,-0.004291,-0.003614,0.000091,-0.000002,-0.000176
0.194000,-0.000943,-0.008750,0.017053,-0.000044,0.000086,0.000185
0.196000,-0.000757,-0.008914,0.006753,0.000146,-0.000083,0.000101
0.198000,0.005148,-0.002780,-0.006723,0.000093,0.000215,0.000051
0.200000,-0.000671,0.000347,0.000088,0.000047,-0.000141,0.000046
0.202000,-0.002817,-0.005389,0.006831,-0.000387,0.000007,-0.000067
0.204000,-0.006629,-0.003203,0.000065,-0.000052,-0.000136,-0.000123
0.206000,-0.004799,0.002846,0.007151,0.000001,-0.000003,0.000160
0.208000,-0.006841,-0.000423,-0.002905,0.000096,0.000161,0.000162
0.210000,-0.002791,-0.000461,-0.009894,0.000044,0.000189,-0.000005
0.212000,-0.002704,-0.005440,0.003361,0.000142,-0.000028,-0.000065
0.214000,-0.006777,-0.000559,0.000244,0.000139,0.000191,-0.000089
0.216000,0.003143,-0.013470,0.006657,0.000003,0.000002,0.000129
0.218000,0.001115,0.004200,0.000326,-0.000050,0.000188,0.000135
0.220000,-0.006638,-0.003081,-0.009855,-0.000095,-0.000223,0.000129
0.222000,0.001239,-0.012421,0.003069,-0.000101,0.000061,-0.000234
0.224000,-0.000784,-0.011381,0.016705,-0.000145,-0.000075,-0.000097
0.226000,-0.002809,-0.012288,0.006739,0.000240,0.000083,0.000019
0.228000,-0.000821,0.002696,0.017037,-0.000194,0.000002,-0.000010
0.230000,0.007319,0.009497,0.010029,-0.000148,-0.000141,-0.000093
0.232000,0.003204,-0.011400,0.019956,-0.000000,-0.000049,-0.000097
0.234000,0.001234,-0.007662,-0.003429,-0.000098,0.000001,-0.000010
0.236000,0.005143,0.003911,0.013637,-0.000239,-0.000028,0.000130
0.238000,-0.012967,0.002882,0.030910,-0.000196,0.000284,-0.000092
0.240000,-0.006802,0.006200,0.020618,-0.000050,0.000029,-0.000009
0.242000,0.005282,0.010839,0.006911,0.000144,-0.000092,0.000133
0.244000,-0.000682,-0.009023,0.006479,0.000187,0.000002,-0.000233
0.246000,0.005245,-0.003247,0.013319,-0.000097,-0.000109,-0.000040
0.248000,-0.008770,0.000504,0.007079,0.000045,0.000083,-0.000035
0.250000,-0.006805,-0.000698,0.010517,-0.000094,-0.000054,0.000158
0.252000,0.005225,-0.005402,-0.000116,-0.000193,-0.000055,0.000017
0.254000,0.003165,-0.001613,-0.009930,-0.000000,0.000104,0.000190
0.256000,-0.000963,-0.004076,0.020444,-0.000048,0.000196,0.000075
0.258000,-0.006654,0.006230,-0.003041,-0.000052,-0.000086,-0.000008
0.260000,-0.010719,0.006396,-0.002870,0.000044,0.000079,-0.000006
0.262000,0.009384,0.003875,-0.013694,0.000140,-0.000093,-0.000034
0.264000,0.003249,-0.006700,0.009898,-0.000099,-0.000052,-0.000123
0.266000,-0.004838,-0.004068,0.006953,0.000094,0.000166,-0.000007
0.268000,0.003308,0.002633,0.006716,0.000142,-0.000087,-0.000009
0.270000,0.005224,0.003941,0.006835,0.000192,-0.000007,0.000133
0.272000,0.001363,0.001371,0.006674,0.000094,-0.000168,-0.000066
0.274000,-0.000717,-0.004314,0.003375,-0.000097,-0.000109,-0.000011
0.276000,0.007072,0.005167,0.016950,-0.000194,0.000165,0.000021
0.278000,0.001241,0.001690,-0.003202,-0.000001,-0.000005,0.000104
0.280000,-0.000674,0.002474,0.016855,-0.000002,-0.000164,-0.000095
0.282000,0.001300,0.008708,-0.009960,0.000090,0.000102,-0.000060
0.284000,0.007345,-0.004408,-0.000331,0.000045,-0.000140,-0.000094
0.286000,-0.002524,-0.003254,-0.006771,0.000384,-0.000283,0.000046
0.288000,-0.004614,0.007354,-0.003135,0.000140,-0.000089,-0.000035
0.290000,0.001296,0.004071,-0.013382,0.000043,0.000076,-0.000033
0.292000,0.003221,0.002901,-0.006705,-0.000150,0.000135,-0.000090
0.294000,0.005276,-0.005421,-0.003525,-0.000049,-0.000085,0.000018
0.296000,0.001258,-0.003029,-0.003384,-0.000099,-0.000001,-0.000037
0.298000,0.005330,-0.001254,0.033419,0.000193,-0.000274,-0.000098
0.300000,-0.002715,0.006299,-0.003107,-0.000100,-0.000004,-0.000007
0.302000,0.003307,-0.008842,-0.013640,-0.000049,-0.000085,0.000018
0.304000,-0.006628,0.004052,-0.016522,0.000141,-0.000036,0.000050
0.306000,0.009309,-0.003149,-0.003666,0.000046,-0.000087,-0.000037
0.308000,-0.000801,0.000418,0.010236,-0.000147,0.000029,-0.000037
0.310000,-0.002716,0.006364,-0.006470,-0.000005,0.000050,-0.000006
0.312000,-0.008668,0.007560,-0.009644,0.000140,0.000020,0.000051
0.314000,0.003363,0.002831,-0.016761,0.000191,-0.000122,0.000161
0.316000,0.001299,0.001493,0.006780,0.000143,-0.000087,0.000019
0.318000,0.007406,0.007404,-0.016903,0.000189,-0.000123,0.000050
0.320000,-0.004727,0.007313,0.017132,0.000189,-0.000003,-0.000035
0.322000,0.003248,0.007565,-0.006614,0.000042,0.000130,-0.000032
0.324000,0.005208,-0.003106,0.009986,0.000046,0.000027,-0.000037
0.326000,0.007253,0.007473,-0.000015,0.000187,0.000102,-0.000032
0.328000,-0.008568,0.009651,-0.009611,-0.000144,-0.000309,0.000158
0.330000,0.001305,0.010871,0.003491,0.000090,0.000049,-0.000117
0.332000,0.005390,-0.003287,-0.003615,-0.000050,-0.000250,-0.000040
0.334000,0.009295,0.018036,-0.013317,0.000042,0.000068,0.000054
0.336000,0.003249,-0.006622,0.003279,-0.000096,-0.000110,0.000045
0.338000,-0.004630,0.007348,0.000136,0.000136,0.000024,-0.000202
0.340000,0.007225,-0.008917,0.003015,-0.000004,0.000056,-0.000149
0.342000,-0.010592,0.001425,0.000374,-0.000047,-0.000304,0.000100
