time,Fx,Fy,Fz,Tx,Ty,Tz
0.002155805,0.000325109,-0.002739138,0.006479510,-0.000012127,0.000176970,-0.000030242
0.004345905,0.004537857,0.010795883,0.013048624,-0.000015409,-0.000101496,-0.000199419
0.006454259,0.008520584,-0.002860327,-0.017507524,-0.000062753,-0.000020946,-0.000114567
0.008562341,-0.001367386,0.005152419,-0.017176320,-0.000255892,-0.000184559,-0.000143954
0.010704382,0.000513817,-0.003071263,0.009676593,0.000229953,-0.000128314,-0.000033235
0.011782659,-0.007344537,0.011082673,-0.016959035,0.000125438,-0.000024143,-0.000195290
0.013849444,0.010342862,0.007837792,-0.010345692,-0.000203799,0.000113360,0.000139696
0.015956716,0.008541688,0.004139024,-0.013994448,0.000274127,-0.000000026,-0.000027901
0.018047792,0.006670253,0.012055703,-0.013808167,0.000085152,-0.000332197,0.000108656
0.020142784,0.010712196,-0.001953673,-0.021145234,0.000175835,-0.000217154,-0.000227300
0.022293804,0.002517838,0.005474460,-0.023771383,0.000083539,-0.000000238,0.000112229
0.024407528,0.004561879,0.006351172,-0.003749733,0.000323634,-0.000081498,-0.000001230
0.026525124,0.008504794,-0.000616347,-0.007297829,-0.000011607,-0.000104036,-0.000003916
0.028664734,0.008399129,0.013365801,0.013209613,0.000083180,0.000059178,-0.000000682
0.029765432,-0.003427218,0.006453558,-0.013706812,-0.000017204,0.000006386,-0.000168689
0.031875404,-0.009481179,0.014608165,-0.003110621,-0.000157011,-0.000076299,0.000054091
0.033979746,-0.007425577,0.002000048,-0.023592842,0.000372184,-0.000000344,0.000112662
0.036148525,0.008458756,0.011081120,-0.000346823,0.000033928,0.000030592,-0.000028446
0.038313884,-0.003531529,0.001776543,0.003228362,0.000133005,-0.000019668,0.000025077
0.040430438,0.004460503,0.006402705,-0.000188550,-0.000056815,-0.000132911,0.000164079
0.042554428,0.000481420,0.001893281,-0.010348762,0.000131547,0.000031903,0.000026976
0.044681253,0.004475120,0.009146659,-0.030302299,0.000231166,0.000020216,0.000366228
0.045780779,-0.005628219,-0.003622718,-0.020125609,-0.000008756,0.000115502,0.000250949
0.047908476,-0.013458744,-0.004114012,0.000138118,0.000043216,-0.000292657,0.000244249
0.050038106,-0.007595330,0.006601934,0.003672912,0.000234180,-0.000024534,0.000334055
0.052165921,-0.007320611,0.001820199,-0.030345953,0.000038593,-0.000301558,0.000192101
0.054300519,0.002413973,0.000771731,-0.010243654,-0.000104226,-0.000049721,0.000220627
