sample_index,hardware_time,dt_hw,read_time,dt_read,batch_time,dt_batch,Fx,Fy,Fz,Tx,Ty,Tz
0,0.000000000,0.002000000,0.002122364,0.000000000,0.002119399,0.000000000,-0.001478403,-0.003046497,-0.023655802,-0.000102332,-0.000019984,-0.000076952
1,0.002000000,0.002000000,0.003222005,0.001099641,0.003219768,0.001100369,-0.011643948,-0.004045547,-0.002953271,0.000190600,0.000146621,0.000120002
2,0.004000000,0.002000000,0.005359080,0.002137075,0.005356915,0.002137147,-0.011531768,-0.006691572,0.003515516,0.000044763,-0.000040514,-0.000079816
3,0.006000000,0.002000000,0.007490760,0.002131680,0.007488374,0.002131459,0.004404904,0.002544093,0.013416690,0.000142547,-0.000047355,0.000033518
4,0.008000000,0.002000000,0.009624444,0.002133684,0.009622286,0.002133912,-0.007697068,-0.011260126,0.013614212,-0.000095972,0.000045690,0.000030800
5,0.010000000,0.002000000,0.011764104,0.002139660,0.011761927,0.002139641,0.000206049,0.000632206,0.007029033,-0.000048653,0.000229485,0.000176083
6,0.012000000,0.002000000,0.013917376,0.002153272,0.013915022,0.002153095,-0.011590749,-0.001997352,0.010407090,0.000045407,0.000013750,-0.000022914
7,0.014000000,0.002000000,0.016042515,0.002125139,0.016040453,0.002125431,-0.001472526,-0.003145667,-0.016884213,-0.000099539,-0.000129633,0.000005048
8,0.016000000,0.002000000,0.017137201,0.001094686,0.017135101,0.001094648,-0.005464031,0.003936136,-0.013245761,0.000380956,-0.000026939,0.000093273
9,0.018000000,0.002000000,0.019236199,0.002098998,0.019235321,0.002100220,0.008370533,0.002671073,0.003141074,-0.000054533,0.000118972,-0.000132201
10,0.020000000,0.002000000,0.021320891,0.002084692,0.021319564,0.002084243,-0.001641458,0.001377890,0.017000139,-0.000240445,-0.000095793,0.000058653
11,0.022000000,0.002000000,0.023418967,0.002098076,0.023417463,0.002097899,0.000282390,-0.006357295,-0.009964477,-0.000288475,0.000093712,0.000173590
12,0.024000000,0.002000000,0.025512682,0.002093715,0.025511351,0.002093888,0.002588136,0.013080825,-0.016799358,-0.000103124,-0.000135796,-0.000047836
13,0.026000000,0.002000000,0.027641236,0.002128554,0.027638054,0.002126703,0.008277462,0.000482648,-0.000038430,-0.000290202,0.000092352,0.000090156
14,0.028000000,0.002000000,0.029793537,0.002152301,0.029791051,0.002152997,-0.003595118,-0.006657518,0.003491675,0.000002056,-0.000126623,0.000170871
15,0.030000000,0.002000000,0.031953299,0.002159762,0.031950527,0.002159476,0.002303324,0.001612084,0.006890946,-0.000048466,0.000063589,0.000146330
16,0.032000000,0.002000000,0.034079067,0.002125768,0.034077038,0.002126511,-0.001731195,0.008722389,0.007213274,-0.000000404,0.000143215,0.000232723
17,0.034000000,0.002000000,0.035178055,0.001098988,0.035175226,0.001098188,-0.003540252,0.000157139,0.013548356,0.000094718,-0.000126680,0.000003811
18,0.036000000,0.002000000,0.037335439,0.002157384,0.037332805,0.002157579,-0.003581302,-0.015878309,-0.010201227,-0.000096179,-0.000068680,0.000058684
19,0.038000000,0.002000000,0.039501985,0.002166546,0.039500566,0.002167761,0.004374838,0.000483957,-0.003428041,0.000187877,0.000142665,0.000009134
20,0.040000000,0.002000000,0.041607709,0.002105724,0.041606395,0.002105829,0.002400972,0.006214794,0.000043376,-0.000005651,0.000089377,-0.000047527
21,0.042000000,0.002000000,0.043761468,0.002153759,0.043758832,0.002152437,0.000635201,0.000083196,-0.006996322,0.000138224,-0.000213234,-0.000163048
22,0.044000000,0.002000000,0.045904278,0.002142810,0.045902118,0.002143286,-0.001643090,-0.005399730,0.000065184,-0.000145377,0.000012404,0.000060574
23,0.046000000,0.002000000,0.048037611,0.002133333,0.048035301,0.002133183,-0.003531852,0.002801073,-0.009885234,0.000237749,0.000002752,0.000120501
24,0.048000000,0.002000000,0.049140787,0.001103176,0.049138722,0.001103421,-0.001521761,-0.005440922,-0.010128995,0.000094323,-0.000075154,0.000061449
25,0.050000000,0.002000000,0.051281094,0.002140307,0.051278909,0.002140187,-0.011853799,-0.010925351,0.013966387,0.000049963,0.000291215,0.000202243
26,0.052000000,0.002000000,0.053409742,0.002128648,0.053407667,0.002128758,-0.001655370,0.003955436,0.003669515,-0.000000453,0.000034520,0.000174854
27,0.054000000,0.002000000,0.055537830,0.002128088,0.055535743,0.002128076,0.002626934,-0.003297321,-0.017040205,0.000191173,-0.000300015,0.000088208
28,0.056000000,0.002000000,0.057689340,0.002151510,0.057686867,0.002151124,0.000410433,0.007372889,0.003560158,0.000189540,0.000031340,0.000092387
29,0.058000000,0.002000000,0.059855178,0.002165838,0.059852644,0.002165777,-0.001693059,0.006292991,0.010378403,0.000044403,0.000173541,0.000036682
30,0.060000000,0.002000000,0.061956269,0.002101091,0.061955440,0.002102796,-0.003540497,0.004841840,0.010307203,-0.000049189,-0.000155385,0.000059995
31,0.062000000,0.002000000,0.064064563,0.002108294,0.064062331,0.002106891,-0.001660810,0.010897041,0.010469702,-0.000002845,0.000089257,0.000092297
32,0.064000000,0.002000000,0.065166123,0.001101560,0.065163894,0.001101563,-0.001827750,0.006437375,0.017269999,-0.000002164,0.000312450,0.000121505
33,0.066000000,0.002000000,0.067296098,0.002129975,0.067293948,0.002130054,0.008284603,-0.001944301,0.013335494,0.000142961,0.000118546,0.000062691
34,0.068000000,0.002000000,0.069426718,0.002130620,0.069424681,0.002130733,0.000249266,0.005262693,0.003696558,-0.000098100,0.000200418,0.000148731
35,0.070000000,0.002000000,0.071555115,0.002128397,0.071553047,0.002128366,-0.003512569,-0.004521244,0.006687508,-0.000098051,-0.000178649,-0.000053887
36,0.072000000,0.002000000,0.073685609,0.002130494,0.073683637,0.002130590,0.008207382,0.000452215,0.016773491,-0.000050889,0.000231419,0.000007418
37,0.074000000,0.002000000,0.075800977,0.002115368,0.075798671,0.002115034,0.006281612,0.013214435,0.017063428,0.000093762,0.000141806,0.000121276
38,0.076000000,0.002000000,0.077966566,0.002165589,0.077963780,0.002165109,-0.003623296,-0.013492884,-0.010156169,-0.000242149,0.000015389,0.000003570
39,0.078000000,0.002000000,0.080105246,0.002138680,0.080103031,0.002139251,-0.001695808,-0.007725444,0.006775169,-0.000145243,0.000069962,0.000032244
40,0.080000000,0.002000000,0.081217390,0.001112144,0.081215207,0.001112176,-0.001566297,0.008402078,0.006972076,-0.000146375,-0.000101477,0.000061235
41,0.082000000,0.002000000,0.083350916,0.002133526,0.083348724,0.002133517,0.012423186,-0.001850495,-0.017053441,0.000144392,-0.000055266,0.000231250
42,0.084000000,0.002000000,0.085482451,0.002131535,0.085480316,0.002131592,-0.005647062,0.001733839,-0.006413839,-0.000147697,0.000119590,0.000063760
43,0.086000000,0.002000000,0.087609968,0.002127517,0.087607873,0.002127557,0.004308934,-0.004160302,-0.000018642,-0.000000787,0.000091154,0.000118419
44,0.088000000,0.002000000,0.089762690,0.002152722,0.089759784,0.002151911,0.000239104,-0.008790947,0.003410304,-0.000337229,0.000126428,0.000060199
45,0.090000000,0.002000000,0.091935896,0.002173206,0.091934644,0.002174860,-0.011652592,-0.003764132,-0.026477261,0.000043671,0.000281378,0.000123152
46,0.092000000,0.002000000,0.094057690,0.002121794,0.094055459,0.002120815,0.000413587,0.000336010,0.000077917,-0.000097262,-0.000073600,0.000088848
47,0.094000000,0.002000000,0.095152185,0.001094495,0.095150193,0.001094734,0.000411683,-0.008837635,-0.013447596,-0.000046152,-0.000102396,0.000228055
48,0.096000000,0.002000000,0.097286002,0.002133817,0.097283925,0.002133732,0.004249228,0.005496138,-0.016438568,0.000001010,0.000192025,0.000402751
