time,Fx,Fy,Fz,Tx,Ty,Tz
0.00200000,-0.00349365,0.01402163,0.00712784,-0.00007191,0.00006059,-0.00033382
0.00400000,-0.01279113,0.00413073,-0.00836956,-0.00050906,-0.00006750,-0.00010523
0.00600000,-0.00309258,0.00960646,0.01169183,0.00026246,0.00009666,-0.00022455
0.00800000,-0.00353095,0.00931050,0.00138735,0.00001805,0.00001212,-0.00022114
0.01000000,0.00467395,0.00722916,0.00571994,0.00014807,0.00004771,-0.00016957
0.01200000,0.00249046,0.00372430,0.00639852,0.00014734,0.00005293,-0.00008627
0.01400000,-0.00021697,0.00243620,0.00982968,-0.00018899,0.00008261,-0.00005949
0.01600000,-0.01043394,-0.00141681,-0.00345961,-0.00017938,-0.00002855,0.00003099
0.01800000,-0.00793726,0.00680850,-0.00174101,-0.00012405,-0.00001366,-0.00016370
0.02000000,-0.00137530,0.01057997,0.00464280,0.00006525,0.00003916,-0.00025047
0.02200000,0.00034427,0.00493058,0.01281760,0.00005664,0.00010661,-0.00011565
0.02400000,-0.00190665,0.00110212,-0.00353411,0.00000375,-0.00002934,-0.00002646
0.02600000,-0.00958915,0.01537744,0.02359328,-0.00010528,0.00019724,-0.00036550
0.02800000,0.00598326,0.00611513,0.01613503,-0.00019343,0.00013558,-0.00014638
0.03000000,-0.00971023,0.00136422,0.01317608,0.00016610,0.00010834,-0.00002985
0.03200000,-0.01544605,0.01203143,0.03097492,0.00009587,0.00025708,-0.00028323
0.03400000,-0.01781320,0.00991132,-0.01656713,-0.00010631,-0.00013696,-0.00023859
0.03600000,-0.01421387,0.00552209,-0.00179359,-0.00021228,-0.00001412,-0.00013437
0.03800000,-0.01135547,0.01383994,0.00000347,0.00003679,0.00000062,-0.00032894
0.04000000,-0.00174418,0.00138877,0.01011366,0.00010360,0.00008355,-0.00003114
0.04200000,-0.00970308,0.01046289,0.00762676,-0.00006599,0.00006410,-0.00024930
0.04400000,0.01607685,0.00257783,0.00378329,-0.00012025,0.00003288,-0.00006196
0.04600000,0.00429358,0.00478105,0.00277124,-0.00000069,0.00002363,-0.00011335
0.04800000,0.00275716,0.00385381,0.00985950,0.00029339,0.00008106,-0.00008737
0.05000000,-0.00243085,0.00072293,-0.01726033,-0.00028984,-0.00014207,-0.00002190
0.05200000,-0.01548589,0.01134726,-0.00646819,0.00003926,-0.00005352,-0.00027023
0.05400000,0.00055298,0.00721223,0.00892280,0.00010704,0.00007428,-0.00016956
0.05600000,-0.00157456,0.01077408,0.01821212,-0.00002864,0.00015219,-0.00025527
0.05800000,0.00095226,0.01461186,0.03122053,0.00016881,0.00025979,-0.00034319
0.06000000,0.00211034,0.00387214,0.01992862,-0.00004343,0.00016604,-0.00009113
